Nombre,ComunidadAutonoma,Provincia,RuralUrbano,CostaInterior,Monumentos,Naturaleza,Fiesta,Comida,DescansoTurismo,QueVer,ModeloA,ModeloB,ModeloC,ModeloD,ModeloE
Santiponce,Andalucia,Sevilla,Rural,Interior,7,9,6,7,Descanso,Ruinas de Italica. Monasterio de San Isidoro del Campo. Casco Antiguo.,4,0,9,9,8
Cordoba,Andalucia,Cordoba,Urbano,Interior,10,5,9,7,Turismo,Mezquita-Catedral de Cordoba. Alcazar de los Reyes Catolicos. Palacio de Viana.,4,3,10,4,0
Priego de Cordoba,Andalucia,Cordoba,Rural,Interior,7,8,5,8,Descanso,Castillo. Carnicerias Reales. Balcon de Adarve.,1,5,10,5,6
Baena,Andalucia,Cordoba,Rural,Interior,7,8,6,7,Descanso,Monasterios de Madre de Dios. Casa de la Condesa. Iglesia de Santa Maria la Mayor.,6,1,4,1,9
Cabra,Andalucia,Cordoba,Rural,Interior,8,6,7,5,Descanso,Castillo de los Condes de Cabra. El Circulo de la Amistad. Iglesia de San Juan de Dios.,4,4,5,6,7
Jaen,Andalucia,Jaen,Urbano,Interior,8,3,7,5,Turismo,Castillo de Santa Catalina. Catedral. Banos arabes.,8,9,0,3,2
Segura de la Sierra,Andalucia,Jaen,Rural,Interior,8,6,8,7,Descanso,Castillo. Fortaleza mudejar. Iglesia Parroquial de Nuestra Senora del Collado.,10,3,0,8,1
Cazorla,Andalucia,Jaen,Rural,Interior,9,6,7,8,Descanso,Castillo de la Yedra. Iglesia de Santa Maria. Fuente de las Cadenas.,0,4,2,2,8
Banos de la Encina,Andalucia,Jaen,Rural,Interior,6,8,5,8,Descanso,Casco antiguo. Castillo de Burgalimar. Iglesia de San Mateo Apostol.,6,5,8,0,10
Cadiz,Andalucia,Cadiz,Urbano,Costa,8,6,8,5,Turismo,Catedral. Castillo de Santa Catalina. Parque Genoves.,9,7,2,2,4
Arcos de la Frontera,Andalucia,Cadiz,Rural,Interior,8,5,6,7,Descanso,Palacio del Conde del aguila. Castillo de Arcos. Puerta de Matrera.,2,6,9,5,6
Olvera,Andalucia,Cadiz,Rural,Interior,9,6,7,8,Descanso,Castillo. Santuario de Nuestra Senora de los Remedios. Casa de la Cilla.,0,0,7,0,1
Vejer de la Frontera,Andalucia,Cadiz,Rural,Interior,10,7,9,5,Descanso,Castillo y sus murallas. Iglesia del Divino Salvador. Ermita de Nuestra Senora de la Ermita.,8,9,6,1,0
Malaga,Andalucia,Malaga,Urbano,Costa,8,7,8,6,Turismo,Alcazaba. Catedral de la Encarnacion. Teatro Romano.,5,3,6,10,0
Ronda,Andalucia,Malaga,Rural,Interior,9,9,5,8,Descanso,Puente Nuevo. Palacio del Rey Moro. Banos arabes.,5,10,10,5,4
Frigiliana,Andalucia,Malaga,Rural,Interior,10,8,7,6,Descanso,Museo Arqueologico. Jardin Botanico de Santa Friora. Parqeu Natural de las Sierras.,8,5,9,5,9
Nerja,Andalucia,Malaga,Rural,Costa,8,7,6,8,Descanso,Cuevas de Nerja. Playas del casco. Centro historico.,1,2,3,3,5
Granada,Andalucia,Granada,Urbano,Interior,10,8,6,9,Turismo,Alhambra. Generalife. Catedral de Granada.,8,6,2,3,0
Salobrena,Andalucia,Granada,Rural,Interior,8,7,8,7,Descanso,Fachadas blancas. Castillo arabe. Iglesia del Rosario.,6,9,4,3,1
Bubion,Andalucia,Granada,Rural,Interior,8,9,7,8,Descanso,Casco Antiguo. Plaza Mayor. Barranco de Poqueira.,6,5,10,7,2
Niguelas,Andalucia,Granada,Rural,Interior,7,8,6,8,Descanso,Falla de Niguelas. Casa-Palacio de las Zayas. Mirador de la Razuela.,0,1,9,2,8
Almeria,Andalucia,Almeria,Urbano,Costa,8,7,9,6,Turismo,Conjunto de Alcazaba. Catedral de la Encarnacion.Playa del Zapillo.,2,7,9,3,4
Mojacar,Andalucia,Almeria,Rural,Costa,8,8,10,8,Descanso,Iglesia de Santa Maria. Ermita de Nuestra Senora de los Dolores. El Torrejon.,6,1,7,8,3
Agua Amarga,Andalucia,Almeria,Rural,Costa,9,9,7,8,Descanso,Mesa Roldan. Playa. Casco antiguo.,2,8,3,7,8
Las Negras,Andalucia,Almeria,Rural,Costa,8,7,8,6,Descanso,Cala de San Pedro. Penon del Gitano. Caleta del Cuervo.,10,2,5,7,2
